,customer_id,email,signup_date,gender,region,loyalty_tier
0,C00001,shaneramirez@gmail.com,2025-04-26,male,Central,silver
1,C00002,jpeterson@bernard.com,2024-08-11,female,Central,gold 
2,C00003,howardmaurice@yahoo.com,2025-05-15,male,Central,gold 
3,C00004,yherrera@arnold.org,2025-06-14,female,Central,gold
4,C00005,janetwilliams@gmail.com,2025-05-02,male,West,bronze
5,C00006,wyattmichelle@yahoo.com,2024-10-21,male,Central,bronze
6,C00007,francisco53@hotmail.com,2024-10-17,female,North,gold 
7,C00008,amandasanchez@gray-mayo.net,2024-09-29,male,Central,gold 
8,C00009,perezantonio@yahoo.com,2024-12-08,female,South,silver
9,C00010,clarksherri@hotmail.com,2024-11-05,male,East,gold
10,C00011,pfoster@thomas-taylor.net,2025-01-31,Other,East,silver
11,C00012,zhurst@yahoo.com,2024-09-29,female,North,silver
12,C00013,ddavis@hernandez.biz,2025-02-22,female,West,gold 
13,C00014,djames@king.com,2025-03-27,Other,Central,gold 
14,C00015,daniel62@yahoo.com,2024-07-07,female,Central,bronze
15,C00016,williamrodriguez@hotmail.com,2024-10-29,Other,North,gold
16,C00017,nathanielmartin@sellers.com,2024-08-10,male,West,gold
17,C00018,john39@gmail.com,2024-08-08,female,North,bronze
18,C00019,spenceamanda@gmail.com,2024-08-24,female,East,gold
19,C00020,josephbrennan@yahoo.com,2024-09-26,female,East,gold
20,C00021,raymond57@hayes.com,2025-02-19,male,South,silver
21,C00022,adrianzimmerman@perez.com,2024-08-02,female,West,silver
22,C00023,elizabeth38@cummings.org,2025-01-05,male,East,gold 
23,C00024,maguirre@davis.com,2024-12-17,female,West,silver
24,C00025,dshields@hotmail.com,2025-03-16,female,North,gold
25,C00026,powellmatthew@wright.net,2024-12-27,female,North,gold 
26,C00027,dwhite@baxter.info,2025-05-15,male,North,gold 
27,C00028,pearsonamber@novak.com,2024-12-10,female,North,gold 
28,C00029,zlewis@gmail.com,2024-09-07,male,North,silver
29,C00030,gallowayjoseph@yahoo.com,2024-10-24,male,North,gold 
30,C00031,smoore@gmail.com,2024-07-28,female,Central,gold 
31,C00032,brian97@calhoun.net,2024-08-06,female,East,gold
32,C00033,larsonemma@powell.com,2025-02-15,Other,North,gold
33,C00034,barnesbrandy@stewart.com,2024-10-06,female,Central,gold
34,C00035,panderson@yahoo.com,2024-12-30,Other,South,silver
35,C00036,smithchristine@hotmail.com,2024-08-13,male,West,bronze
36,C00037,williamanderson@ibarra-suarez.com,2024-10-24,female,East,gold
37,C00038,tbass@carr-archer.net,2024-07-09,female,East,gold
38,C00039,mcmillandennis@gmail.com,2025-06-16,Other,South,silver
39,C00040,josephjacobs@cooper.net,2025-01-11,female,East,gold
40,C00041,davisrodney@yahoo.com,2024-07-23,male,North,bronze
41,C00042,kellie42@ramos.com,2024-08-04,female,West,bronze
42,C00043,davenportbrandi@jordan.com,2024-11-24,female,East,silver
43,C00044,jason31@deleon-henson.biz,2025-03-04,female,Central,gold 
44,C00045,michellecherry@keith.com,2025-04-18,female,West,bronze
45,C00046,vpham@gmail.com,2024-10-17,male,North,bronze
46,C00047,reyesbenjamin@walker-velasquez.info,2024-11-18,female,West,bronze
47,C00048,jeffreykeller@yahoo.com,2024-11-10,female,East,gold 
48,C00049,rasmussenjoshua@hotmail.com,2025-01-19,male,South,gold 
49,C00050,sheila14@gmail.com,2025-02-16,female,West,bronze
50,C00051,rodriguezryan@hotmail.com,2025-05-07,female,East,gold
51,C00052,gobrien@gmail.com,2024-12-02,female,East,gold
